No,Termo de busca,Plataforma,Tipo de modificador,Modificador,Palavra-chave,Idioma,País,Volume,CPC (US$)
219,"Smartphone","Google","Ordem alfabética","o","smartphone oppo find x9 pro 5g 512gb 16gb ram","pt","br","0","-"
220,"Smartphone","Google","Ordem alfabética","o","smartphone oppo a6x","pt","br","0","-"
221,"Smartphone","Google","Ordem alfabética","o","smartphone oppo find x9 pro","pt","br","0","-"
222,"Smartphone","Google","Ordem alfabética","o","smartphone oppo a6","pt","br","0","-"
223,"Smartphone","Google","Ordem alfabética","o","smartphone oppo a6t","pt","br","0","-"
224,"Smartphone","Google","Ordem alfabética","o","smartphone oppo a6 pro","pt","br","0","-"
225,"Smartphone","Google","Ordem alfabética","o","smartphone oppo reno 14f","pt","br","0","-"
226,"Smartphone","Google","Ordem alfabética","p","smartphone promoção","pt","br","4.4K","0.37"
227,"Smartphone","Google","Ordem alfabética","p","smartphone poco","pt","br","2.4K","0.21"
228,"Smartphone","Google","Ordem alfabética","p","smartphone poco x7 pro","pt","br","1.6K","0.27"
229,"Smartphone","Google","Ordem alfabética","p","smartphone para idoso","pt","br","0","-"
230,"Smartphone","Google","Ordem alfabética","p","smartphone png","pt","br","0","-"
231,"Smartphone","Google","Ordem alfabética","p","smartphone pequeno","pt","br","0","-"
232,"Smartphone","Google","Ordem alfabética","p","smartphone positivo","pt","br","0","-"
233,"Smartphone","Google","Ordem alfabética","p","smartphone poco x7 pro 5g dual sim 512gb 12gb ram","pt","br","0","-"
234,"Smartphone","Google","Ordem alfabética","p","smartphone poco x7 pro 5g 512gb 12gb xiaomi","pt","br","0","-"
235,"Smartphone","Google","Ordem alfabética","p","smartphone por menos de r$ 1.000","pt","br","0","-"
236,"Smartphone","Google","Ordem alfabética","p","smartphone poco c85 6+6gb + 128gb preto","pt","br","0","-"
237,"Smartphone","Google","Ordem alfabética","p","smartphone poco x7 pro 5g 512gb 12gb nfc tela amoled 120 hz câmera","pt","br","0","-"
238,"Smartphone","Google","Ordem alfabética","p","smartphone poco x8 pro 5g 512gb 8gb ram branco - xiaomi","pt","br","0","-"
239,"Smartphone","Google","Ordem alfabética","p","smartphone poco c85","pt","br","0","-"
240,"Smartphone","Google","Ordem alfabética","p","smartphone poco x8 pro max","pt","br","0","-"
241,"Smartphone","Google","Ordem alfabética","q","smartphone qual o melhor","pt","br","720","0.06"
242,"Smartphone","Google","Ordem alfabética","q","smartphone quantum","pt","br","210","0.05"
243,"Smartphone","Google","Ordem alfabética","q","smartphone que dobra","pt","br","140","0.13"
244,"Smartphone","Google","Ordem alfabética","q","smartphone qwerty","pt","br","0","-"
245,"Smartphone","Google","Ordem alfabética","q","smartphone quadrado","pt","br","0","-"
246,"Smartphone","Google","Ordem alfabética","q","smartphone que carrega por indução","pt","br","0","-"
247,"Smartphone","Google","Ordem alfabética","q","smartphone que não quebra","pt","br","0","-"
248,"Smartphone","Google","Ordem alfabética","q","smartphone que abre e fecha","pt","br","0","-"
249,"Smartphone","Google","Ordem alfabética","q","smartphone que parece iphone","pt","br","0","-"
250,"Smartphone","Google","Ordem alfabética","q","smartphone que não trava","pt","br","0","-"
251,"Smartphone","Google","Ordem alfabética","q","smartphone que tem nfc","pt","br","0","-"
252,"Smartphone","Google","Ordem alfabética","q","smartphone que dobra no meio","pt","br","0","-"
253,"Smartphone","Google","Ordem alfabética","q","smartphone quando surgiu","pt","br","0","-"
